Year,Rice,Wheat,Maize,Groundnut,Cotton,Sugarcane
2005,570,700,540,1520,1760,79
2006,580,750,545,1520,1770,80
2007,645,850,620,1550,1800,81
2008,900,1000,840,2100,2500,81
2009,1000,1100,840,2100,2500,129
2010,1000,1120,880,2300,2500,139
2011,1080,1285,980,2700,2800,145
2012,1250,1350,1175,3700,3600,170
2013,1310,1400,1310,4000,3700,210
2014,1360,1450,1310,4000,3750,220
2015,1410,1525,1325,4030,3800,230
2016,1470,1625,1365,4220,3860,230
2017,1550,1735,1425,4450,4020,255
2018,1750,1840,1700,4890,5150,275
2019,1815,1925,1760,5090,5550,275
2020,1868,1975,1850,5275,5515,285
2021,1940,2015,1870,5550,5726,290
2022,2040,2015,1962,5850,6080,305
2023,2183,2275,2090,6377,6620,315
